team,over,batter,bowler,non_striker,runs_batter,runs_extras,runs_total,player_out,wicket_kind,fielders
Sunrisers Hyderabad,0,Abhishek Sharma,Mitchell Starc,Travis Head,0,0,0,,,[]
Sunrisers Hyderabad,0,Abhishek Sharma,Mitchell Starc,Travis Head,0,0,0,,,[]
Sunrisers Hyderabad,0,Abhishek Sharma,Mitchell Starc,Travis Head,0,0,0,,,[]
Sunrisers Hyderabad,0,Abhishek Sharma,Mitchell Starc,Travis Head,2,0,2,,,[]
Sunrisers Hyderabad,0,Abhishek Sharma,Mitchell Starc,Travis Head,0,0,0,Abhishek Sharma,bowled,[]
Sunrisers Hyderabad,0,Rahul Tripathi,Mitchell Starc,Travis Head,1,0,1,,,[]
Sunrisers Hyderabad,1,Rahul Tripathi,Vaibhav Arora,Travis Head,0,0,0,,,[]
Sunrisers Hyderabad,1,Rahul Tripathi,Vaibhav Arora,Travis Head,0,0,0,,,[]
Sunrisers Hyderabad,1,Rahul Tripathi,Vaibhav Arora,Travis Head,0,0,0,,,[]
Sunrisers Hyderabad,1,Rahul Tripathi,Vaibhav Arora,Travis Head,2,0,2,,,[]
Sunrisers Hyderabad,1,Rahul Tripathi,Vaibhav Arora,Travis Head,1,0,1,,,[]
Sunrisers Hyderabad,1,Travis Head,Vaibhav Arora,Rahul Tripathi,0,0,0,Travis Head,caught,['Rahmanullah Gurbaz']
Sunrisers Hyderabad,2,Rahul Tripathi,Mitchell Starc,Aiden Markram,4,0,4,,,[]
Sunrisers Hyderabad,2,Rahul Tripathi,Mitchell Starc,Aiden Markram,1,0,1,,,[]
Sunrisers Hyderabad,2,Aiden Markram,Mitchell Starc,Rahul Tripathi,0,0,0,,,[]
Sunrisers Hyderabad,2,Aiden Markram,Mitchell Starc,Rahul Tripathi,4,0,4,,,[]
Sunrisers Hyderabad,2,Aiden Markram,Mitchell Starc,Rahul Tripathi,0,0,0,,,[]
Sunrisers Hyderabad,2,Aiden Markram,Mitchell Starc,Rahul Tripathi,0,0,0,,,[]
Sunrisers Hyderabad,3,Rahul Tripathi,Vaibhav Arora,Aiden Markram,0,2,2,,,[]
Sunrisers Hyderabad,3,Rahul Tripathi,Vaibhav Arora,Aiden Markram,1,0,1,,,[]
Sunrisers Hyderabad,3,Aiden Markram,Vaibhav Arora,Rahul Tripathi,0,0,0,,,[]
Sunrisers Hyderabad,3,Aiden Markram,Vaibhav Arora,Rahul Tripathi,1,0,1,,,[]
Sunrisers Hyderabad,3,Rahul Tripathi,Vaibhav Arora,Aiden Markram,0,0,0,,,[]
Sunrisers Hyderabad,3,Rahul Tripathi,Vaibhav Arora,Aiden Markram,0,1,1,,,[]
Sunrisers Hyderabad,3,Rahul Tripathi,Vaibhav Arora,Aiden Markram,1,0,1,,,[]
Sunrisers Hyderabad,3,Aiden Markram,Vaibhav Arora,Rahul Tripathi,0,0,0,,,[]
Sunrisers Hyderabad,4,Rahul Tripathi,Mitchell Starc,Aiden Markram,0,0,0,,,[]
Sunrisers Hyderabad,4,Rahul Tripathi,Mitchell Starc,Aiden Markram,0,0,0,Rahul Tripathi,caught,['Ramandeep Singh']
Sunrisers Hyderabad,4,Nitish Kumar Reddy,Mitchell Starc,Aiden Markram,1,0,1,,,[]
Sunrisers Hyderabad,4,Aiden Markram,Mitchell Starc,Nitish Kumar Reddy,1,0,1,,,[]
Sunrisers Hyderabad,4,Nitish Kumar Reddy,Mitchell Starc,Aiden Markram,0,0,0,,,[]
Sunrisers Hyderabad,4,Nitish Kumar Reddy,Mitchell Starc,Aiden Markram,0,0,0,,,[]
Sunrisers Hyderabad,5,Aiden Markram,Vaibhav Arora,Nitish Kumar Reddy,0,1,1,,,[]
Sunrisers Hyderabad,5,Aiden Markram,Vaibhav Arora,Nitish Kumar Reddy,4,0,4,,,[]
Sunrisers Hyderabad,5,Aiden Markram,Vaibhav Arora,Nitish Kumar Reddy,4,0,4,,,[]
Sunrisers Hyderabad,5,Aiden Markram,Vaibhav Arora,Nitish Kumar Reddy,1,0,1,,,[]
Sunrisers Hyderabad,5,Nitish Kumar Reddy,Vaibhav Arora,Aiden Markram,0,0,0,,,[]
Sunrisers Hyderabad,5,Nitish Kumar Reddy,Vaibhav Arora,Aiden Markram,6,0,6,,,[]
Sunrisers Hyderabad,5,Nitish Kumar Reddy,Vaibhav Arora,Aiden Markram,1,0,1,,,[]
Sunrisers Hyderabad,6,Nitish Kumar Reddy,Harshit Rana,Aiden Markram,4,0,4,,,[]
Sunrisers Hyderabad,6,Nitish Kumar Reddy,Harshit Rana,Aiden Markram,1,0,1,,,[]
Sunrisers Hyderabad,6,Aiden Markram,Harshit Rana,Nitish Kumar Reddy,0,1,1,,,[]
Sunrisers Hyderabad,6,Aiden Markram,Harshit Rana,Nitish Kumar Reddy,0,0,0,,,[]
Sunrisers Hyderabad,6,Aiden Markram,Harshit Rana,Nitish Kumar Reddy,1,0,1,,,[]
Sunrisers Hyderabad,6,Nitish Kumar Reddy,Harshit Rana,Aiden Markram,0,0,0,,,[]
Sunrisers Hyderabad,6,Nitish Kumar Reddy,Harshit Rana,Aiden Markram,0,0,0,Nitish Kumar Reddy,caught,['Rahmanullah Gurbaz']
Sunrisers Hyderabad,7,Aiden Markram,Sunil Narine,Heinrich Klaasen,0,0,0,,,[]
Sunrisers Hyderabad,7,Aiden Markram,Sunil Narine,Heinrich Klaasen,1,0,1,,,[]
Sunrisers Hyderabad,7,Heinrich Klaasen,Sunil Narine,Aiden Markram,1,0,1,,,[]
Sunrisers Hyderabad,7,Aiden Markram,Sunil Narine,Heinrich Klaasen,0,0,0,,,[]
Sunrisers Hyderabad,7,Aiden Markram,Sunil Narine,Heinrich Klaasen,1,0,1,,,[]
Sunrisers Hyderabad,7,Heinrich Klaasen,Sunil Narine,Aiden Markram,1,0,1,,,[]
Sunrisers Hyderabad,8,Heinrich Klaasen,Harshit Rana,Aiden Markram,4,0,4,,,[]
Sunrisers Hyderabad,8,Heinrich Klaasen,Harshit Rana,Aiden Markram,1,0,1,,,[]
Sunrisers Hyderabad,8,Aiden Markram,Harshit Rana,Heinrich Klaasen,1,0,1,,,[]
Sunrisers Hyderabad,8,Heinrich Klaasen,Harshit Rana,Aiden Markram,0,0,0,,,[]
Sunrisers Hyderabad,8,Heinrich Klaasen,Harshit Rana,Aiden Markram,0,0,0,,,[]
Sunrisers Hyderabad,8,Heinrich Klaasen,Harshit Rana,Aiden Markram,1,0,1,,,[]
Sunrisers Hyderabad,9,Heinrich Klaasen,Sunil Narine,Aiden Markram,1,0,1,,,[]
Sunrisers Hyderabad,9,Aiden Markram,Sunil Narine,Heinrich Klaasen,1,0,1,,,[]
Sunrisers Hyderabad,9,Heinrich Klaasen,Sunil Narine,Aiden Markram,1,0,1,,,[]
Sunrisers Hyderabad,9,Aiden Markram,Sunil Narine,Heinrich Klaasen,0,0,0,,,[]
Sunrisers Hyderabad,9,Aiden Markram,Sunil Narine,Heinrich Klaasen,0,0,0,,,[]
Sunrisers Hyderabad,9,Aiden Markram,Sunil Narine,Heinrich Klaasen,0,0,0,,,[]
Sunrisers Hyderabad,10,Heinrich Klaasen,Andre Russell,Aiden Markram,1,0,1,,,[]
Sunrisers Hyderabad,10,Aiden Markram,Andre Russell,Heinrich Klaasen,0,0,0,Aiden Markram,caught,['Mitchell Starc']
Sunrisers Hyderabad,10,Shahbaz Ahmed,Andre Russell,Heinrich Klaasen,2,0,2,,,[]
Sunrisers Hyderabad,10,Shahbaz Ahmed,Andre Russell,Heinrich Klaasen,0,0,0,,,[]
Sunrisers Hyderabad,10,Shahbaz Ahmed,Andre Russell,Heinrich Klaasen,0,0,0,,,[]
Sunrisers Hyderabad,10,Shahbaz Ahmed,Andre Russell,Heinrich Klaasen,6,0,6,,,[]
Sunrisers Hyderabad,11,Heinrich Klaasen,Varun Chakaravarthy,Shahbaz Ahmed,0,0,0,,,[]
Sunrisers Hyderabad,11,Heinrich Klaasen,Varun Chakaravarthy,Shahbaz Ahmed,1,0,1,,,[]
Sunrisers Hyderabad,11,Shahbaz Ahmed,Varun Chakaravarthy,Heinrich Klaasen,0,0,0,,,[]
Sunrisers Hyderabad,11,Shahbaz Ahmed,Varun Chakaravarthy,Heinrich Klaasen,0,0,0,,,[]
Sunrisers Hyderabad,11,Shahbaz Ahmed,Varun Chakaravarthy,Heinrich Klaasen,0,0,0,Shahbaz Ahmed,caught,['Sunil Narine']
Sunrisers Hyderabad,11,Abdul Samad,Varun Chakaravarthy,Heinrich Klaasen,1,0,1,,,[]
Sunrisers Hyderabad,12,Heinrich Klaasen,Andre Russell,Abdul Samad,2,0,2,,,[]
Sunrisers Hyderabad,12,Heinrich Klaasen,Andre Russell,Abdul Samad,1,0,1,,,[]
Sunrisers Hyderabad,12,Abdul Samad,Andre Russell,Heinrich Klaasen,1,0,1,,,[]
Sunrisers Hyderabad,12,Heinrich Klaasen,Andre Russell,Abdul Samad,1,1,2,,,[]
Sunrisers Hyderabad,12,Abdul Samad,Andre Russell,Heinrich Klaasen,0,0,0,Abdul Samad,caught,['Rahmanullah Gurbaz']
Sunrisers Hyderabad,12,Pat Cummins,Andre Russell,Heinrich Klaasen,4,0,4,,,[]
Sunrisers Hyderabad,12,Pat Cummins,Andre Russell,Heinrich Klaasen,1,0,1,,,[]
Sunrisers Hyderabad,13,Pat Cummins,Varun Chakaravarthy,Heinrich Klaasen,4,0,4,,,[]
Sunrisers Hyderabad,13,Pat Cummins,Varun Chakaravarthy,Heinrich Klaasen,0,0,0,,,[]
Sunrisers Hyderabad,13,Pat Cummins,Varun Chakaravarthy,Heinrich Klaasen,1,0,1,,,[]
Sunrisers Hyderabad,13,Heinrich Klaasen,Varun Chakaravarthy,Pat Cummins,2,0,2,,,[]
Sunrisers Hyderabad,13,Heinrich Klaasen,Varun Chakaravarthy,Pat Cummins,1,0,1,,,[]
Sunrisers Hyderabad,13,Pat Cummins,Varun Chakaravarthy,Heinrich Klaasen,0,0,0,,,[]
Sunrisers Hyderabad,14,Heinrich Klaasen,Harshit Rana,Pat Cummins,0,0,0,Heinrich Klaasen,bowled,[]
Sunrisers Hyderabad,14,Jaydev Unadkat,Harshit Rana,Pat Cummins,0,0,0,,,[]
Sunrisers Hyderabad,14,Jaydev Unadkat,Harshit Rana,Pat Cummins,0,0,0,,,[]
Sunrisers Hyderabad,14,Jaydev Unadkat,Harshit Rana,Pat Cummins,0,0,0,,,[]
Sunrisers Hyderabad,14,Jaydev Unadkat,Harshit Rana,Pat Cummins,0,0,0,,,[]
Sunrisers Hyderabad,14,Jaydev Unadkat,Harshit Rana,Pat Cummins,0,0,0,,,[]
Sunrisers Hyderabad,15,Pat Cummins,Sunil Narine,Jaydev Unadkat,4,0,4,,,[]
Sunrisers Hyderabad,15,Pat Cummins,Sunil Narine,Jaydev Unadkat,1,0,1,,,[]
Sunrisers Hyderabad,15,Jaydev Unadkat,Sunil Narine,Pat Cummins,0,0,0,,,[]
Sunrisers Hyderabad,15,Jaydev Unadkat,Sunil Narine,Pat Cummins,1,0,1,,,[]
Sunrisers Hyderabad,15,Pat Cummins,Sunil Narine,Jaydev Unadkat,1,0,1,,,[]
Sunrisers Hyderabad,15,Jaydev Unadkat,Sunil Narine,Pat Cummins,1,0,1,,,[]
Sunrisers Hyderabad,16,Jaydev Unadkat,Harshit Rana,Pat Cummins,1,0,1,,,[]
Sunrisers Hyderabad,16,Pat Cummins,Harshit Rana,Jaydev Unadkat,0,0,0,,,[]
Sunrisers Hyderabad,16,Pat Cummins,Harshit Rana,Jaydev Unadkat,0,0,0,,,[]
Sunrisers Hyderabad,16,Pat Cummins,Harshit Rana,Jaydev Unadkat,2,0,2,,,[]
Sunrisers Hyderabad,16,Pat Cummins,Harshit Rana,Jaydev Unadkat,6,0,6,,,[]
Sunrisers Hyderabad,16,Pat Cummins,Harshit Rana,Jaydev Unadkat,1,0,1,,,[]
Sunrisers Hyderabad,17,Pat Cummins,Sunil Narine,Jaydev Unadkat,1,0,1,,,[]
Sunrisers Hyderabad,17,Jaydev Unadkat,Sunil Narine,Pat Cummins,1,0,1,,,[]
Sunrisers Hyderabad,17,Pat Cummins,Sunil Narine,Jaydev Unadkat,2,0,2,,,[]
Sunrisers Hyderabad,17,Pat Cummins,Sunil Narine,Jaydev Unadkat,1,0,1,,,[]
Sunrisers Hyderabad,17,Jaydev Unadkat,Sunil Narine,Pat Cummins,0,0,0,Jaydev Unadkat,lbw,[]
Sunrisers Hyderabad,17,Bhuvneshwar Kumar,Sunil Narine,Pat Cummins,0,0,0,,,[]
Sunrisers Hyderabad,18,Pat Cummins,Andre Russell,Bhuvneshwar Kumar,0,0,0,,,[]
Sunrisers Hyderabad,18,Pat Cummins,Andre Russell,Bhuvneshwar Kumar,0,0,0,,,[]
Sunrisers Hyderabad,18,Pat Cummins,Andre Russell,Bhuvneshwar Kumar,0,0,0,Pat Cummins,caught,['Mitchell Starc']
Kolkata Knight Riders,0,Rahmanullah Gurbaz,Bhuvneshwar Kumar,Sunil Narine,0,0,0,,,[]
Kolkata Knight Riders,0,Rahmanullah Gurbaz,Bhuvneshwar Kumar,Sunil Narine,4,0,4,,,[]
Kolkata Knight Riders,0,Rahmanullah Gurbaz,Bhuvneshwar Kumar,Sunil Narine,0,0,0,,,[]
Kolkata Knight Riders,0,Rahmanullah Gurbaz,Bhuvneshwar Kumar,Sunil Narine,0,1,1,,,[]
Kolkata Knight Riders,0,Rahmanullah Gurbaz,Bhuvneshwar Kumar,Sunil Narine,0,0,0,,,[]
Kolkata Knight Riders,0,Rahmanullah Gurbaz,Bhuvneshwar Kumar,Sunil Narine,0,0,0,,,[]
Kolkata Knight Riders,0,Rahmanullah Gurbaz,Bhuvneshwar Kumar,Sunil Narine,0,0,0,,,[]
Kolkata Knight Riders,1,Sunil Narine,Pat Cummins,Rahmanullah Gurbaz,6,0,6,,,[]
Kolkata Knight Riders,1,Sunil Narine,Pat Cummins,Rahmanullah Gurbaz,0,0,0,Sunil Narine,caught,['Shahbaz Ahmed']
Kolkata Knight Riders,1,Venkatesh Iyer,Pat Cummins,Rahmanullah Gurbaz,0,2,2,,,[]
Kolkata Knight Riders,1,Venkatesh Iyer,Pat Cummins,Rahmanullah Gurbaz,1,0,1,,,[]
Kolkata Knight Riders,1,Rahmanullah Gurbaz,Pat Cummins,Venkatesh Iyer,0,0,0,,,[]
Kolkata Knight Riders,1,Rahmanullah Gurbaz,Pat Cummins,Venkatesh Iyer,4,0,4,,,[]
Kolkata Knight Riders,1,Rahmanullah Gurbaz,Pat Cummins,Venkatesh Iyer,0,0,0,,,[]
Kolkata Knight Riders,2,Venkatesh Iyer,Bhuvneshwar Kumar,Rahmanullah Gurbaz,4,0,4,,,[]
Kolkata Knight Riders,2,Venkatesh Iyer,Bhuvneshwar Kumar,Rahmanullah Gurbaz,6,0,6,,,[]
Kolkata Knight Riders,2,Venkatesh Iyer,Bhuvneshwar Kumar,Rahmanullah Gurbaz,6,0,6,,,[]
Kolkata Knight Riders,2,Venkatesh Iyer,Bhuvneshwar Kumar,Rahmanullah Gurbaz,1,0,1,,,[]
Kolkata Knight Riders,2,Rahmanullah Gurbaz,Bhuvneshwar Kumar,Venkatesh Iyer,0,0,0,,,[]
Kolkata Knight Riders,2,Rahmanullah Gurbaz,Bhuvneshwar Kumar,Venkatesh Iyer,1,0,1,,,[]
Kolkata Knight Riders,3,Rahmanullah Gurbaz,T. Natarajan,Venkatesh Iyer,0,1,1,,,[]
Kolkata Knight Riders,3,Rahmanullah Gurbaz,T. Natarajan,Venkatesh Iyer,4,0,4,,,[]
Kolkata Knight Riders,3,Rahmanullah Gurbaz,T. Natarajan,Venkatesh Iyer,0,0,0,,,[]
Kolkata Knight Riders,3,Rahmanullah Gurbaz,T. Natarajan,Venkatesh Iyer,0,0,0,,,[]
Kolkata Knight Riders,3,Rahmanullah Gurbaz,T. Natarajan,Venkatesh Iyer,0,1,1,,,[]
Kolkata Knight Riders,3,Rahmanullah Gurbaz,T. Natarajan,Venkatesh Iyer,1,0,1,,,[]
Kolkata Knight Riders,3,Venkatesh Iyer,T. Natarajan,Rahmanullah Gurbaz,1,0,1,,,[]
Kolkata Knight Riders,3,Rahmanullah Gurbaz,T. Natarajan,Venkatesh Iyer,1,0,1,,,[]
Kolkata Knight Riders,4,Venkatesh Iyer,Pat Cummins,Rahmanullah Gurbaz,4,0,4,,,[]
Kolkata Knight Riders,4,Venkatesh Iyer,Pat Cummins,Rahmanullah Gurbaz,1,0,1,,,[]
Kolkata Knight Riders,4,Rahmanullah Gurbaz,Pat Cummins,Venkatesh Iyer,1,0,1,,,[]
Kolkata Knight Riders,4,Rahmanullah Gurbaz,Pat Cummins,Venkatesh Iyer,0,0,0,,,[]
Kolkata Knight Riders,4,Rahmanullah Gurbaz,Pat Cummins,Venkatesh Iyer,0,0,0,,,[]
Kolkata Knight Riders,4,Rahmanullah Gurbaz,Pat Cummins,Venkatesh Iyer,0,0,0,,,[]
Kolkata Knight Riders,5,Venkatesh Iyer,T. Natarajan,Rahmanullah Gurbaz,4,0,4,,,[]
Kolkata Knight Riders,5,Venkatesh Iyer,T. Natarajan,Rahmanullah Gurbaz,4,0,4,,,[]
Kolkata Knight Riders,5,Venkatesh Iyer,T. Natarajan,Rahmanullah Gurbaz,6,0,6,,,[]
Kolkata Knight Riders,5,Venkatesh Iyer,T. Natarajan,Rahmanullah Gurbaz,4,0,4,,,[]
Kolkata Knight Riders,5,Venkatesh Iyer,T. Natarajan,Rahmanullah Gurbaz,1,0,1,,,[]
Kolkata Knight Riders,5,Rahmanullah Gurbaz,T. Natarajan,Venkatesh Iyer,1,0,1,,,[]
Kolkata Knight Riders,6,Rahmanullah Gurbaz,Shahbaz Ahmed,Venkatesh Iyer,0,0,0,,,[]
Kolkata Knight Riders,6,Rahmanullah Gurbaz,Shahbaz Ahmed,Venkatesh Iyer,4,0,4,,,[]
Kolkata Knight Riders,6,Rahmanullah Gurbaz,Shahbaz Ahmed,Venkatesh Iyer,6,0,6,,,[]
Kolkata Knight Riders,6,Rahmanullah Gurbaz,Shahbaz Ahmed,Venkatesh Iyer,1,0,1,,,[]
Kolkata Knight Riders,6,Venkatesh Iyer,Shahbaz Ahmed,Rahmanullah Gurbaz,0,1,1,,,[]
Kolkata Knight Riders,6,Venkatesh Iyer,Shahbaz Ahmed,Rahmanullah Gurbaz,0,0,0,,,[]
Kolkata Knight Riders,7,Rahmanullah Gurbaz,Jaydev Unadkat,Venkatesh Iyer,1,0,1,,,[]
Kolkata Knight Riders,7,Venkatesh Iyer,Jaydev Unadkat,Rahmanullah Gurbaz,1,0,1,,,[]
Kolkata Knight Riders,7,Rahmanullah Gurbaz,Jaydev Unadkat,Venkatesh Iyer,0,0,0,,,[]
Kolkata Knight Riders,7,Rahmanullah Gurbaz,Jaydev Unadkat,Venkatesh Iyer,2,0,2,,,[]
Kolkata Knight Riders,7,Rahmanullah Gurbaz,Jaydev Unadkat,Venkatesh Iyer,1,0,1,,,[]
Kolkata Knight Riders,7,Venkatesh Iyer,Jaydev Unadkat,Rahmanullah Gurbaz,4,0,4,,,[]
Kolkata Knight Riders,8,Venkatesh Iyer,Shahbaz Ahmed,Rahmanullah Gurbaz,2,0,2,,,[]
Kolkata Knight Riders,8,Venkatesh Iyer,Shahbaz Ahmed,Rahmanullah Gurbaz,1,0,1,,,[]
Kolkata Knight Riders,8,Rahmanullah Gurbaz,Shahbaz Ahmed,Venkatesh Iyer,0,0,0,,,[]
Kolkata Knight Riders,8,Rahmanullah Gurbaz,Shahbaz Ahmed,Venkatesh Iyer,6,0,6,,,[]
Kolkata Knight Riders,8,Rahmanullah Gurbaz,Shahbaz Ahmed,Venkatesh Iyer,0,0,0,Rahmanullah Gurbaz,lbw,[]
Kolkata Knight Riders,8,Shreyas Iyer,Shahbaz Ahmed,Venkatesh Iyer,4,0,4,,,[]
Kolkata Knight Riders,9,Venkatesh Iyer,Aiden Markram,Shreyas Iyer,2,0,2,,,[]
Kolkata Knight Riders,9,Venkatesh Iyer,Aiden Markram,Shreyas Iyer,0,0,0,,,[]
Kolkata Knight Riders,9,Venkatesh Iyer,Aiden Markram,Shreyas Iyer,0,0,0,,,[]
Kolkata Knight Riders,9,Venkatesh Iyer,Aiden Markram,Shreyas Iyer,1,0,1,,,[]
Kolkata Knight Riders,9,Shreyas Iyer,Aiden Markram,Venkatesh Iyer,1,0,1,,,[]
Kolkata Knight Riders,9,Venkatesh Iyer,Aiden Markram,Shreyas Iyer,1,0,1,,,[]
Kolkata Knight Riders,10,Venkatesh Iyer,Shahbaz Ahmed,Shreyas Iyer,1,0,1,,,[]
Kolkata Knight Riders,10,Shreyas Iyer,Shahbaz Ahmed,Venkatesh Iyer,1,0,1,,,[]
Kolkata Knight Riders,10,Venkatesh Iyer,Shahbaz Ahmed,Shreyas Iyer,1,0,1,,,[]
